"hosun","name","avgprice","gongsil","size_under","size_over","yn","역번호","승차","하차","address","lon","lat"
"7호선","하계",201567.831382916,0.7,3,7,1,2717,14694.2697368421,13808.8684210526,"서울특별시 노원구 하계동 273-5 하계역",127.0685438,37.6351911
"7호선","학동",148450.818903022,0.533,7,8,1,2733,17980.8881578947,19404.1381578947,"서울특별시 강남구 논현동 279-67 학동역",127.021728,37.511206
"8호선","가락시장",108906.104344419,0.429,3,4,1,2818,6546.15131578947,7419.84210526316,"서울특별시 송파구 가락동 184-23 가락시장역",127.11801,37.49297
"8호선","강동구청",135579.723613516,0.25,1,3,1,2813,8391.75657894737,8642.92105263158,"서울특별시 강동구 성내동 319 강동구청역",127.1205399,37.5304447
"8호선","남한산성입구",134091.415593884,0.167,2,4,0,2823,10926.2631578947,9814.80263157895,"경기도 성남시 수정구 단대동 96 남한산성입구역",127.1597885,37.4515319
"8호선","단대오거리",155455.8234195,0.5,2,4,1,2824,8549.77631578947,8140.38815789474,"경기도 성남시 수정구 신흥동 2467 단대오거리역",127.1463494,37.4407489
"8호선","모란",116621.4,0,0,1,0,2827,3886.60526315789,2991.25,"경기도 성남시 수정구 수진동 4808 모란역",127.1295588,37.4340198
"8호선","몽촌토성",207997.722222222,0,0,1,0,2814,4476.19736842105,4707.96052631579,"서울특별시 송파구 신천동 19 몽촌토성역",127.113083,37.518545
"8호선","문정",185085.033333333,0,1,0,0,2819,15879.4342105263,16547.3618421053,"서울특별시 송파구 문정동 119-4 문정역",127.1211404,37.4881176
"8호선","복정",178224.96,0,0,1,0,2821,8387.6052631579,7185.01315789474,"서울특별시 송파구 장지동 596-21 복정역",127.126685,37.470375
"8호선","산성",203881.666666667,0,1,0,0,2822,4479.82894736842,4398.81578947368,"경기도 성남시 수정구 신흥동 7-4 산성역",127.1499344,37.4564866
"8호선","석촌",170361.824561404,0,1,1,0,2816,6342.55921052632,7365.28289473684,"서울특별시 송파구 석촌동 209 석촌역",127.10733,37.50468
"8호선","송파",117211.402262562,0,2,0,0,2817,7182.9802631579,6847.30921052632,"서울특별시 송파구 가락동 459-4 송파역",127.112201,37.499739
"8호선","수진",139396.875,0,0,1,0,2826,4374.52631578947,3995.31578947368,"경기도 성남시 수정구 수진동 2205-1 수진역",127.1404296,37.4377757
"8호선","신흥",153117.05,0,0,1,0,2825,3925.36184210526,4202.25,"경기도 성남시 수정구 신흥동 2467 신흥역",127.1463494,37.4407489
"8호선","암사",181738.919761547,0,2,3,0,2811,15280.6776315789,13525.1381578947,"서울특별시 강동구 암사동 501 암사역",127.1281759,37.5511435
"8호선","잠실",677998.947570754,0,12,14,0,2815,12033.4934210526,13692.2171052632,"서울특별시 송파구 잠실동 7-4 잠실역",127.1042019,37.5149545
"8호선","장지",323658.693181818,0.667,1,2,1,2820,14248.8421052632,13649.3815789474,"서울특별시 송파구 장지동 201-5 장지역",127.1196635,37.4873579
